Month,Year,Reason,Count
August,2022,ADMIN WITHDRAW,0
August,2022,Elementary With,41
August,2022,Enroll in Other,1
August,2022,EXP CAN'T RET,4
August,2022,HOME SCHOOLING,0
August,2022,OTHER (UNKNOWN),10
August,2022,Transferred to,6
September,2022,ADMIN WITHDRAW,0
September,2022,Elementary With,51
September,2022,Enroll in Other,0
September,2022,EXP CAN'T RET,8
September,2022,HOME SCHOOLING,0
September,2022,OTHER (UNKNOWN),13
September,2022,Transferred to,0
October,2022,ADMIN WITHDRAW,0
October,2022,Elementary With,50
October,2022,Enroll in Other,0
October,2022,EXP CAN'T RET,17
October,2022,HOME SCHOOLING,0
October,2022,OTHER (UNKNOWN),10
October,2022,Transferred to,0
November,2022,ADMIN WITHDRAW,0
November,2022,Elementary With,42
November,2022,Enroll in Other,0
November,2022,EXP CAN'T RET,3
November,2022,HOME SCHOOLING,1
November,2022,OTHER (UNKNOWN),12
November,2022,Transferred to,0
December,2022,ADMIN WITHDRAW,0
December,2022,Elementary With,15
December,2022,Enroll in Other,1
December,2022,EXP CAN'T RET,1
December,2022,HOME SCHOOLING,0
December,2022,OTHER (UNKNOWN),4
December,2022,Transferred to,0
January,2023,ADMIN WITHDRAW,2
January,2023,Elementary With,60
January,2023,Enroll in Other,2
January,2023,EXP CAN'T RET,15
January,2023,HOME SCHOOLING,0
January,2023,OTHER (UNKNOWN),19
January,2023,Transferred to,0
February,2023,ADMIN WITHDRAW,0
February,2023,Elementary With,29
February,2023,Enroll in Other,1
February,2023,EXP CAN'T RET,4
February,2023,HOME SCHOOLING,0
February,2023,OTHER (UNKNOWN),15
February,2023,Transferred to,0
March,2023,ADMIN WITHDRAW,0
March,2023,Elementary With,18
March,2023,Enroll in Other,2
March,2023,EXP CAN'T RET,7
March,2023,HOME SCHOOLING,0
March,2023,OTHER (UNKNOWN),12
March,2023,Transferred to,1
April,2023,ADMIN WITHDRAW,0
April,2023,Elementary With,3
April,2023,Enroll in Other,0
April,2023,EXP CAN'T RET,1
April,2023,HOME SCHOOLING,0
April,2023,OTHER (UNKNOWN),1
April,2023,Transferred to,0
